onset	duration	sample	value	event_code
0	n/a	0	break cnt	break cnt
1.782	n/a	891	resting_start	90
65.87	n/a	32935	instructed_toOpenEyes	20
85.87	n/a	42935	instructed_toCloseEyes	30
125.87	n/a	62935	instructed_toOpenEyes	20
145.87	n/a	72935	instructed_toCloseEyes	30
185.862	n/a	92931	instructed_toOpenEyes	20
205.862	n/a	102931	instructed_toCloseEyes	30
245.862	n/a	122931	instructed_toOpenEyes	20
265.862	n/a	132931	instructed_toCloseEyes	30
305.864	n/a	152932	instructed_toOpenEyes	20
325.864	n/a	162932	instructed_toCloseEyes	30
365.864	n/a	182932	instructed_toOpenEyes	20
370.415	n/a	185207.5	boundary	boundary
